,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
660,HX.133,84.0,25.0,2.0,6.0,0.0,1.0,351031.0,38269.0,1941-06-16,1941-07-03,7.142857142857140,0.0,50.0
508,OB.337,56.0,11.0,0.0,2.0,0.0,0.0,231654.0,8362.0,1941-06-16,1941-06-28,3.571428571428570,0.0,0.0
512,OB.341,91.0,9.0,0.0,2.0,0.0,0.0,515172.0,10392.0,1941-06-26,1941-07-06,2.197802197802200,0.0,0.0
40,SC.41,97.0,18.0,1.0,1.0,0.0,1.0,276143.0,2000.0,1941-08-24,1941-09-11,1.0309278350515500,0.0,100.0
41,SC.42,101.0,29.0,1.0,16.0,0.0,1.0,271397.0,68243.0,1941-08-30,1941-09-20,15.841584158415800,0.0,100.0
43,SC.44,82.0,23.0,0.0,5.0,1.0,0.0,230051.0,26578.0,1941-09-11,1941-09-30,6.097560975609760,4.3478260869565200,0.0
47,SC.48,79.0,26.0,0.0,12.0,3.0,0.0,254203.0,51465.0,1941-10-05,1941-10-22,15.18987341772150,11.538461538461500,0.0
49,SC.50,63.0,16.0,1.0,1.0,0.0,1.0,244065.0,5120.0,1941-10-17,1941-11-04,1.5873015873015900,0.0,100.0
683,HX.156,68.0,16.0,0.0,1.0,1.0,0.0,318924.0,1190.0,1941-10-22,1941-11-05,1.4705882352941200,6.25,0.0
51,SC.52,46.0,11.0,0.0,4.0,0.0,0.0,161715.0,17064.0,1941-10-29,1941-11-05,8.695652173913040,0.0,0.0
52,SC.53,65.0,17.0,1.0,2.0,0.0,1.0,245493.0,8538.0,1941-11-04,1941-11-24,3.076923076923080,0.0,100.0
55,SC.56,67.0,20.0,1.0,1.0,0.0,1.0,208323.0,4016.0,1941-11-22,1941-12-10,1.4925373134328400,0.0,100.0
56,SC.57,57.0,18.0,0.0,3.0,0.0,0.0,195397.0,14971.0,1941-11-28,1941-12-15,5.263157894736840,0.0,0.0
693,HX.166,50.0,15.0,2.0,1.0,0.0,1.0,244509.0,8237.0,1941-12-21,1942-01-05,2.0,0.0,50.0
61,SC.62,49.0,17.0,1.0,1.0,0.0,1.0,141449.0,3657.0,1941-12-27,1942-01-12,2.0408163265306100,0.0,100.0
695,HX.168,53.0,13.0,1.0,1.0,0.0,1.0,261911.0,5246.0,1942-01-02,1942-01-13,1.8867924528301900,0.0,100.0
62,SC.63,45.0,11.0,2.0,2.0,0.0,2.0,166242.0,10122.0,1942-01-03,1942-01-13,4.444444444444450,0.0,100.0
63,SC.64,47.0,17.0,2.0,1.0,0.0,1.0,146689.0,5427.0,1942-01-09,1942-01-23,2.127659574468090,0.0,50.0
65,SC.66,54.0,17.0,1.0,1.0,0.0,1.0,190163.0,4887.0,1942-01-23,1942-02-09,1.8518518518518500,0.0,100.0
66,SC.67,41.0,12.0,0.0,2.0,1.0,0.0,128808.0,4953.0,1942-01-30,1942-02-15,4.878048780487810,8.333333333333330,0.0
701,HX.174,47.0,14.0,1.0,1.0,0.0,1.0,211573.0,6914.0,1942-02-07,1942-02-21,2.127659574468090,0.0,100.0
705,HX.178,35.0,12.0,1.0,1.0,0.0,1.0,151580.0,5112.0,1942-03-03,1942-03-17,2.857142857142860,0.0,100.0
708,HX.181,41.0,11.0,3.0,1.0,0.0,0.0,190736.0,8620.0,1942-03-21,1942-04-02,2.4390243902439000,0.0,0.0
93,SC.94,51.0,16.0,0.0,11.0,0.0,0.0,148785.0,53421.0,1942-07-31,1942-08-13,21.568627450980400,0.0,0.0
94,SC.95,60.0,19.0,1.0,2.0,0.0,1.0,160442.0,8245.0,1942-08-04,1942-08-19,3.3333333333333300,0.0,100.0
96,SC.97,80.0,16.0,1.0,2.0,0.0,0.0,296113.0,10288.0,1942-08-22,1942-09-07,2.5,0.0,0.0
99,SC.100,47.0,21.0,3.0,5.0,0.0,3.0,128892.0,26426.0,1942-09-12,1942-09-28,10.638297872340400,0.0,100.0
100,SC.101,49.0,17.0,1.0,1.0,0.0,1.0,142788.0,2254.0,1942-09-19,1942-10-05,2.0408163265306100,0.0,100.0
736,HX.209,54.0,14.0,1.0,1.0,0.0,0.0,283281.0,11651.0,1942-09-24,1942-10-09,1.8518518518518500,0.0,0.0
102,SC.103,86.0,26.0,1.0,1.0,0.0,1.0,276696.0,6098.0,1942-09-26,1942-10-14,1.1627906976744200,0.0,100.0
103,SC.104,75.0,18.0,0.0,8.0,0.0,0.0,254868.0,43970.0,1942-10-03,1942-10-21,10.666666666666700,0.0,0.0
