HX Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
HX.332,71,23,0,0,0,0,365851,0,1945-01-13,1945-01-28
HX.333,81,31,0,0,0,0,373691,0,1945-01-18,1945-02-01
HX.334,115,40,0,0,0,0,537307,0,1945-01-23,1945-02-06
HX.335,72,20,0,0,0,0,383608,0,1945-01-28,1945-02-10
HX.336,68,25,0,0,0,0,330932,0,1945-02-02,1945-02-14
HX.337,101,34,0,1,1,0,489132,925,1945-02-07,1945-02-21
HX.338,101,27,0,0,0,0,557823,0,1945-02-12,1945-02-27
HX.339,109,33,0,0,0,0,595689,0,1945-02-18,1945-03-03
HX.340,81,31,0,0,0,0,420269,0,1945-02-23,1945-03-10
HX.341,107,37,0,0,0,0,548729,0,1945-02-28,1945-03-15
HX.342,105,39,0,0,0,0,521690,0,1945-03-04,1945-03-19
HX.343,96,33,0,0,0,0,491716,0,1945-03-09,1945-03-24
HX.344,104,31,0,0,0,0,539364,0,1945-03-14,1945-03-28
HX.345,101,26,0,0,0,0,544329,0,1945-03-19,1945-04-02
HX.346,83,28,0,1,0,0,447450,7176,1945-03-24,1945-04-07
HX.347,95,38,0,0,0,0,483358,0,1945-03-29,1945-04-14
HX.348,113,34,1,2,0,0,586337,15209,1945-04-03,1945-04-20
HX.349,90,32,0,0,0,0,445660,0,1945-04-08,1945-04-23
HX.350,117,33,0,0,0,0,654111,0,1945-04-13,1945-04-28
HX.351,92,38,0,0,0,0,414520,0,1945-04-18,1945-05-03
HX.352,122,47,1,0,0,0,590355,0,1945-04-23,1945-05-08
HX.353,101,37,0,0,0,0,511962,0,1945-04-29,1945-05-15
HX.354,120,39,0,0,0,0,620637,0,1945-05-03,1945-05-18
HX.355,80,24,0,0,0,0,446611,0,1945-05-09,1945-05-25
HX.356,68,22,0,0,0,0,333220,0,1945-05-13,1945-05-26
HX.357,109,31,0,0,0,0,604813,0,1945-05-19,1945-06-03
HX.358,82,23,0,0,0,0,406154,0,1945-05-23,1945-06-06
